2020년,업무,실내습도(%),실내온도(℃),pH,EC,수온(℃),광시간(명/암),수온(℃),pH,EC,기타(수경인삼),
11월 23일,,66~72,18.9~20.3,8.3,0.2,18.9,12/12,,,,,
11월 24일,,66~71,19.0~20.3,8.3,0.2,18.5,12/12,,,,,
11월 25일,,,,,,,12/12,,,,,
11월 26일,,78.3,19,8.5,0.3,18.7,12/12,,,,온습도계 정지,
11월 27일,,52~71,19.1~21.3,8.3,0.3,18.5,12/12,,,,,
11월 28일,,66~71,19.1~20.4,8.3,0.3,18.9,12/12,,,,"전체수확->건조, 항온항습기 정지",
11월 29일,,,,,,,,,,,,
11월 30일,,,,,,,,,,,,
12월 01일,,,,,,,,,,,,
12월 02일,,,,,,,,,,,,
12월 03일,,,,,,,,,,,,
12월 04일,,,,,,,,,,,,
12월 05일,,,,,,,,,,,,
12월 06일,,,,,,,,,,,,
12월 07일,,,,,,,,,,,,
12월 08일,,,,,,,,,,,,
12월 09일,,,,,,,,,,,,
12월 10일,,,,,,,,,,,,
12월 11일,,,,,,,,,,,,
12월 12일,,,,,,,,,,,,
12월 13일,,,,,,,,,,,,
12월 14일,,,,,,,,,,,,
12월 15일,,,,,,,,,,,,
12월 16일,,,,,,,,,,,,
12월 17일,,,,,,,,,,,,
12월 18일,,,,,,,,,,,,
12월 19일,,,,,,,,,,,,
12월 20일,,,,,,,,,,,,
12월 21일,,,,,,,,,,,,
12월 22일,,,,,,,,,,,,
12월 23일,,,,,,,,,,,,
12월 24일,가을묘삼 저장(20채),,,,,,,,,,"5채씩 질석에 분주, 8℃ 저장",
12월 25일,,,,,,,,,,,,
12월 26일,,,,,,,,,,,,
12월 27일,,,,,,,,,,,,
12월 28일,,,,,,,,,,,4℃로 변경,
12월 29일,,,,,,,,,,,,
12월 30일,,,,,,,,,,,,
12월 31일,,,,,,,,,,,3℃로 변경,
2021년,업무,실내습도(%),실내온도(℃),pH,EC,수온(℃),광시간(명/암),수온(℃),pH,EC,기타,
01월 01일,,,,,,,,,,,,
01월 02일,,,,,,,,,,,,
01월 03일,,,,,,,,,,,,
01월 04일,,,,,,,,,,,-1℃로 변경,
01월 05일,,,,,,,,,,,,
01월 06일,,,,,,,,,,,,
01월 07일,,,,,,,,,,,,
01월 08일,,,,,,,,,,,,
01월 09일,,,,,,,,,,,-5℃로 변경,
01월 10일,,,,,,,,,,,,
01월 11일,,,,,,,,,,,,
01월 12일,,,,,,,,,,,,
01월 13일,,,,,,,,,,,,
01월 14일,,,,,,,,,,,,
01월 15일,,,,,,,,,,,,
01월 16일,,,,,,,,,,,,
01월 17일,,,,,,,,,,,,
01월 18일,,,,,,,,,,,,
01월 19일,,,,,,,,,,,,
01월 20일,,,,,,,,,,,,
01월 21일,,,,,,,,,,,,
01월 22일,,,,,,,,,,,,
01월 23일,,,,,,,,,,,,
01월 24일,,,,,,,,,,,,
01월 25일,,,,,,,,,,,,
01월 26일,,,,,,,,,,,,
01월 27일,,,,,,,,,,,,
01월 28일,,,,,,,,,,,,
01월 29일,,,,,,,,,,,,
01월 30일,,,,,,,,,,,,
01월 31일,,,,,,,,,,,,
